month,price_per_gpu_hr,util_pct,delivered_util_pct,revenue_usd,power_cost_usd,other_opex_usd,depreciation_usd,ebitda_usd,ebit_usd,tax_usd,net_income_usd,cashflow_usd,cum_cash_usd
1,2.325,35.0,70.0,93744.0,1693.44,0.0,66666.67,92050.56,25383.89,0.0,25383.89,-2307949.44,-2307949.44
2,2.282165,37.94,75.88,99749.42,1835.75,0.0,66666.67,97913.68,31247.01,0.0,31247.01,97913.68,-2210035.76
3,2.24012,40.88,81.76,105501.75,1978.05,0.0,66666.67,103523.7,36857.03,0.0,36857.03,103523.7,-2106512.07
4,2.198849,43.82,87.65,111008.26,2120.36,0.0,66666.67,108887.9,42221.23,0.0,42221.23,108887.9,-1997624.17
5,2.158339,46.76,93.53,116276.06,2262.66,0.0,66666.67,114013.4,47346.73,0.0,47346.73,114013.4,-1883610.77
6,2.118575,49.71,99.41,121312.08,2404.97,0.0,66666.67,118907.11,52240.44,0.0,52240.44,118907.11,-1764703.66
7,2.079543,52.65,99.9,119661.91,2416.78,0.0,66666.67,117245.13,50578.46,0.0,50578.46,117245.13,-1647458.53
8,2.041231,55.59,99.9,117457.32,2416.78,0.0,66666.67,115040.54,48373.87,0.0,48373.87,115040.54,-1532417.99
9,2.003624,58.53,99.9,115293.35,2416.78,0.0,66666.67,112876.57,46209.9,0.0,46209.9,112876.57,-1419541.43
10,1.966711,61.47,99.9,113169.25,2416.78,0.0,66666.67,110752.46,44085.8,0.0,44085.8,110752.46,-1308788.96
11,1.930477,64.41,99.9,111084.27,2416.78,0.0,66666.67,108667.49,42000.83,0.0,42000.83,108667.49,-1200121.47
12,1.894911,67.35,99.9,109037.72,2416.78,0.0,66666.67,106620.94,39954.27,0.0,39954.27,106620.94,-1093500.53
13,1.86,70.29,99.9,107028.86,2416.78,0.0,66666.67,104612.08,37945.42,0.0,37945.42,104612.08,-988888.45
14,1.825732,73.24,99.9,105057.02,2416.78,0.0,66666.67,102640.24,35973.57,0.0,35973.57,102640.24,-886248.21
15,1.792096,76.18,99.9,103121.51,2416.78,0.0,66666.67,100704.73,34038.06,0.0,34038.06,100704.73,-785543.48
16,1.759079,79.12,99.9,101221.65,2416.78,0.0,66666.67,98804.87,32138.2,0.0,32138.2,98804.87,-686738.61
17,1.726671,82.06,99.9,99356.8,2416.78,0.0,66666.67,96940.02,30273.35,0.0,30273.35,96940.02,-589798.6
18,1.69486,85.0,99.9,97526.3,2416.78,0.0,66666.67,95109.52,28442.85,0.0,28442.85,95109.52,-494689.08
19,1.663635,85.0,99.9,95729.53,2416.78,0.0,66666.67,93312.75,26646.08,0.0,26646.08,93312.75,-401376.33
20,1.632985,85.0,99.9,93965.86,2416.78,0.0,66666.67,91549.08,24882.41,0.0,24882.41,91549.08,-309827.26
21,1.602899,85.0,99.9,92234.68,2416.78,0.0,66666.67,89817.9,23151.23,0.0,23151.23,89817.9,-220009.36
22,1.573368,85.0,99.9,90535.4,2416.78,0.0,66666.67,88118.62,21451.95,0.0,21451.95,88118.62,-131890.75
23,1.544382,85.0,99.9,88867.42,2416.78,0.0,66666.67,86450.64,19783.97,0.0,19783.97,86450.64,-45440.11
24,1.515929,85.0,99.9,87230.17,2416.78,0.0,66666.67,84813.39,18146.73,0.0,18146.73,84813.39,39373.29
25,1.488,85.0,99.9,85623.09,2416.78,0.0,66666.67,83206.31,16539.64,0.0,16539.64,83206.31,122579.6
26,1.460586,85.0,99.9,84045.62,2416.78,0.0,66666.67,81628.84,14962.17,0.0,14962.17,81628.84,204208.43
27,1.433677,85.0,99.9,82497.2,2416.78,0.0,66666.67,80080.42,13413.76,0.0,13413.76,80080.42,284288.86
28,1.407264,85.0,99.9,80977.32,2416.78,0.0,66666.67,78560.54,11893.87,0.0,11893.87,78560.54,362849.4
29,1.381337,85.0,99.9,79485.44,2416.78,0.0,66666.67,77068.66,10401.99,0.0,10401.99,77068.66,439918.05
30,1.355888,85.0,99.9,78021.04,2416.78,0.0,66666.67,75604.26,8937.59,0.0,8937.59,75604.26,515522.31
31,1.330908,85.0,99.9,76583.62,2416.78,0.0,66666.67,74166.84,7500.17,0.0,7500.17,74166.84,589689.15
32,1.306388,85.0,99.9,75172.68,2416.78,0.0,66666.67,72755.9,6089.24,0.0,6089.24,72755.9,662445.05
33,1.28232,85.0,99.9,73787.74,2416.78,0.0,66666.67,71370.96,4704.3,0.0,4704.3,71370.96,733816.02
34,1.258695,85.0,99.9,72428.32,2416.78,0.0,66666.67,70011.54,3344.87,0.0,3344.87,70011.54,803827.55
35,1.235505,85.0,99.9,71093.94,2416.78,0.0,66666.67,68677.16,2010.49,0.0,2010.49,68677.16,872504.71
36,1.212743,85.0,99.9,69784.14,2416.78,0.0,66666.67,67367.36,700.69,0.0,700.69,67367.36,939872.07
37,1.1904,85.0,99.9,68498.47,2416.78,0.0,0.0,66081.69,66081.69,0.0,66081.69,66081.69,1005953.76
38,1.168469,85.0,99.9,67236.49,2416.78,0.0,0.0,64819.71,64819.71,0.0,64819.71,64819.71,1070773.47
39,1.146941,85.0,99.9,65997.76,2416.78,0.0,0.0,63580.98,63580.98,0.0,63580.98,63580.98,1134354.45
40,1.125811,85.0,99.9,64781.86,2416.78,0.0,0.0,62365.08,62365.08,0.0,62365.08,62365.08,1196719.53
41,1.105069,85.0,99.9,63588.35,2416.78,0.0,0.0,61171.57,61171.57,0.0,61171.57,61171.57,1257891.1
42,1.08471,85.0,99.9,62416.83,2416.78,0.0,0.0,60000.05,60000.05,0.0,60000.05,60000.05,1317891.15
43,1.064726,85.0,99.9,61266.9,2416.78,0.0,0.0,58850.12,58850.12,0.0,58850.12,58850.12,1376741.26
44,1.04511,85.0,99.9,60138.15,2416.78,0.0,0.0,57721.37,57721.37,0.0,57721.37,57721.37,1434462.63
45,1.025856,85.0,99.9,59030.19,2416.78,0.0,0.0,56613.41,56613.41,0.0,56613.41,56613.41,1491076.05
46,1.006956,85.0,99.9,57942.65,2416.78,0.0,0.0,55525.87,55525.87,0.0,55525.87,55525.87,1546601.92
47,0.988404,85.0,99.9,56875.15,2416.78,0.0,0.0,54458.37,54458.37,0.0,54458.37,54458.37,1601060.29
48,0.970194,85.0,99.9,55827.31,2416.78,0.0,0.0,53410.53,53410.53,0.0,53410.53,53410.53,1654470.82
49,0.95232,85.0,99.9,54798.78,2416.78,0.0,0.0,52382.0,52382.0,0.0,52382.0,52382.0,1706852.81
50,0.934775,85.0,99.9,53789.19,2416.78,0.0,0.0,51372.41,51372.41,0.0,51372.41,51372.41,1758225.23
51,0.917553,85.0,99.9,52798.21,2416.78,0.0,0.0,50381.43,50381.43,0.0,50381.43,50381.43,1808606.66
52,0.900649,85.0,99.9,51825.48,2416.78,0.0,0.0,49408.7,49408.7,0.0,49408.7,49408.7,1858015.36
53,0.884056,85.0,99.9,50870.68,2416.78,0.0,0.0,48453.9,48453.9,0.0,48453.9,48453.9,1906469.26
54,0.867768,85.0,99.9,49933.47,2416.78,0.0,0.0,47516.68,47516.68,0.0,47516.68,47516.68,1953985.95
55,0.851781,85.0,99.9,49013.52,2416.78,0.0,0.0,46596.74,46596.74,0.0,46596.74,46596.74,2000582.68
56,0.836088,85.0,99.9,48110.52,2416.78,0.0,0.0,45693.74,45693.74,0.0,45693.74,45693.74,2046276.42
57,0.820684,85.0,99.9,47224.16,2416.78,0.0,0.0,44807.37,44807.37,0.0,44807.37,44807.37,2091083.79
58,0.805565,85.0,99.9,46354.12,2416.78,0.0,0.0,43937.34,43937.34,0.0,43937.34,43937.34,2135021.14
59,0.790723,85.0,99.9,45500.12,2416.78,0.0,0.0,43083.34,43083.34,0.0,43083.34,43083.34,2178104.47
60,0.776155,85.0,99.9,44661.85,2416.78,0.0,0.0,42245.07,42245.07,0.0,42245.07,42245.07,2220349.54
